Número de Orden;Número de Mesa;Nombre del Plato; Costo Unitario ; Precio Unitario ;Cantidad Ordenada; Ganancia Bruta ;Ganancia Neta;Procentaje de ganancia;Tiempo de Preparación;Tiempo en formato;Observaciones;Estado de la Orden
8;11;Plato_20;25,00 €;40,00 €;3;120,00 €;75,00 €;63%;36;0:36:00;Ninguna;
9;15;Plato_2;18,00 €;30,00 €;1;30,00 €;18,00 €;60%;51;0:51:00;Ninguna;
9;15;Plato_7;14,00 €;24,00 €;1;24,00 €;14,00 €;58%;49;0:49:00;Sin cebolla;
9;15;Plato_12;11,00 €;19,00 €;1;19,00 €;11,00 €;58%;15;0:15:00;Ninguna;
9;15;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;31;0:31:00;Ninguna;
10;17;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;10;0:10:00;Sin cebolla;
10;17;Plato_20;25,00 €;40,00 €;2;80,00 €;50,00 €;63%;19;0:19:00;Ninguna;
11;14;Plato_16;16,00 €;28,00 €;1;28,00 €;16,00 €;57%;32;0:32:00;Sin cebolla;
11;14;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;24;0:24:00;Sin cebolla;
12;14;Plato_16;16,00 €;28,00 €;1;28,00 €;16,00 €;57%;5;0:05:00;Sin cebolla;
12;14;Plato_19;22,00 €;36,00 €;3;108,00 €;66,00 €;61%;44;0:44:00;Ninguna;
12;14;Plato_8;21,00 €;35,00 €;2;70,00 €;42,00 €;60%;6;0:06:00;Ninguna;
12;14;Plato_20;25,00 €;40,00 €;3;120,00 €;75,00 €;63%;40;0:40:00;Ninguna;
13;2;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;59;0:59:00;Sin cebolla;
14;16;Plato_3;12,00 €;20,00 €;1;20,00 €;12,00 €;60%;36;0:36:00;Ninguna;
14;16;Plato_11;20,00 €;33,00 €;1;33,00 €;20,00 €;61%;26;0:26:00;Ninguna;
14;16;Plato_14;14,00 €;23,00 €;2;46,00 €;28,00 €;61%;44;0:44:00;Sin cebolla;
14;16;Plato_2;18,00 €;30,00 €;1;30,00 €;18,00 €;60%;48;0:48:00;Ninguna;
15;6;Plato_16;16,00 €;28,00 €;2;56,00 €;32,00 €;57%;25;0:25:00;Ninguna;
15;6;Plato_13;13,00 €;21,00 €;3;63,00 €;39,00 €;62%;27;0:27:00;Ninguna;
15;6;Plato_8;21,00 €;35,00 €;3;105,00 €;63,00 €;60%;51;0:51:00;Ninguna;
16;20;Plato_16;16,00 €;28,00 €;1;28,00 €;16,00 €;57%;38;0:38:00;Ninguna;
17;14;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;43;0:43:00;Sin cebolla;
17;14;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;58;0:58:00;Ninguna;
17;14;Plato_5;13,00 €;22,00 €;3;66,00 €;39,00 €;59%;57;0:57:00;Sin cebolla;
18;9;Plato_9;17,00 €;29,00 €;1;29,00 €;17,00 €;59%;23;0:23:00;Ninguna;
18;9;Plato_20;25,00 €;40,00 €;2;80,00 €;50,00 €;63%;54;0:54:00;Ninguna;
18;9;Plato_10;15,00 €;26,00 €;3;78,00 €;45,00 €;58%;23;0:23:00;Ninguna;
18;9;Plato_15;19,00 €;32,00 €;2;64,00 €;38,00 €;59%;34;0:34:00;Ninguna;
19;18;Plato_20;25,00 €;40,00 €;2;80,00 €;50,00 €;63%;44;0:44:00;Sin cebolla;
20;8;Plato_8;21,00 €;35,00 €;3;105,00 €;63,00 €;60%;50;0:50:00;Sin cebolla;
20;8;Plato_1;15,00 €;25,00 €;2;50,00 €;30,00 €;60%;6;0:06:00;Sin cebolla;
20;8;Plato_14;14,00 €;23,00 €;1;23,00 €;14,00 €;61%;14;0:14:00;Sin cebolla;
21;12;Plato_20;25,00 €;40,00 €;3;120,00 €;75,00 €;63%;20;0:20:00;Ninguna;
21;12;Plato_3;12,00 €;20,00 €;2;40,00 €;24,00 €;60%;43;0:43:00;Ninguna;
21;12;Plato_15;19,00 €;32,00 €;2;64,00 €;38,00 €;59%;44;0:44:00;Sin cebolla;
21;12;Plato_1;15,00 €;25,00 €;2;50,00 €;30,00 €;60%;45;0:45:00;Sin cebolla;
22;15;Plato_4;10,00 €;18,00 €;1;18,00 €;10,00 €;56%;32;0:32:00;Ninguna;
22;15;Plato_18;20,00 €;34,00 €;3;102,00 €;60,00 €;59%;19;0:19:00;Ninguna;
22;15;Plato_9;17,00 €;29,00 €;2;58,00 €;34,00 €;59%;13;0:13:00;Sin cebolla;
22;15;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;59;0:59:00;Sin cebolla;
23;1;Plato_12;11,00 €;19,00 €;3;57,00 €;33,00 €;58%;46;0:46:00;Sin cebolla;
23;1;Plato_6;16,00 €;27,00 €;3;81,00 €;48,00 €;59%;17;0:17:00;Sin cebolla;
24;5;Plato_10;15,00 €;26,00 €;3;78,00 €;45,00 €;58%;45;0:45:00;Ninguna;
24;5;Plato_9;17,00 €;29,00 €;1;29,00 €;17,00 €;59%;46;0:46:00;Ninguna;
24;5;Plato_14;14,00 €;23,00 €;2;46,00 €;28,00 €;61%;42;0:42:00;Sin cebolla;
24;5;Plato_20;25,00 €;40,00 €;2;80,00 €;50,00 €;63%;47;0:47:00;Sin cebolla;
25;12;Plato_18;20,00 €;34,00 €;1;34,00 €;20,00 €;59%;35;0:35:00;Sin cebolla;
26;18;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;13;0:13:00;Sin cebolla;
26;18;Plato_13;13,00 €;21,00 €;2;42,00 €;26,00 €;62%;54;0:54:00;Ninguna;
26;18;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;42;0:42:00;Sin cebolla;
27;4;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;17;0:17:00;Ninguna;
27;4;Plato_10;15,00 €;26,00 €;1;26,00 €;15,00 €;58%;38;0:38:00;Sin cebolla;
28;2;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;17;0:17:00;Sin cebolla;
28;2;Plato_9;17,00 €;29,00 €;2;58,00 €;34,00 €;59%;39;0:39:00;Sin cebolla;
29;20;Plato_1;15,00 €;25,00 €;3;75,00 €;45,00 €;60%;22;0:22:00;Sin cebolla;
29;20;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;18;0:18:00;Ninguna;
29;20;Plato_17;19,00 €;31,00 €;2;62,00 €;38,00 €;61%;31;0:31:00;Sin cebolla;
30;14;Plato_10;15,00 €;26,00 €;2;52,00 €;30,00 €;58%;14;0:14:00;Ninguna;
30;14;Plato_3;12,00 €;20,00 €;3;60,00 €;36,00 €;60%;55;0:55:00;Ninguna;
31;13;Plato_9;17,00 €;29,00 €;1;29,00 €;17,00 €;59%;59;0:59:00;Sin cebolla;
31;13;Plato_12;11,00 €;19,00 €;2;38,00 €;22,00 €;58%;46;0:46:00;Sin cebolla;
32;5;Plato_15;19,00 €;32,00 €;2;64,00 €;38,00 €;59%;50;0:50:00;Sin cebolla;
32;5;Plato_11;20,00 €;33,00 €;1;33,00 €;20,00 €;61%;20;0:20:00;Sin cebolla;
32;5;Plato_10;15,00 €;26,00 €;3;78,00 €;45,00 €;58%;35;0:35:00;Ninguna;
32;5;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;23;0:23:00;Ninguna;
33;4;Plato_8;21,00 €;35,00 €;3;105,00 €;63,00 €;60%;6;0:06:00;Sin cebolla;
33;4;Plato_6;16,00 €;27,00 €;1;27,00 €;16,00 €;59%;59;0:59:00;Ninguna;
33;4;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;55;0:55:00;Sin cebolla;
33;4;Plato_10;15,00 €;26,00 €;3;78,00 €;45,00 €;58%;10;0:10:00;Ninguna;
34;15;Plato_18;20,00 €;34,00 €;1;34,00 €;20,00 €;59%;46;0:46:00;Ninguna;
34;15;Plato_10;15,00 €;26,00 €;3;78,00 €;45,00 €;58%;19;0:19:00;Sin cebolla;
35;13;Plato_2;18,00 €;30,00 €;3;90,00 €;54,00 €;60%;5;0:05:00;Sin cebolla;
35;13;Plato_9;17,00 €;29,00 €;1;29,00 €;17,00 €;59%;8;0:08:00;Ninguna;
35;13;Plato_11;20,00 €;33,00 €;1;33,00 €;20,00 €;61%;21;0:21:00;Ninguna;
35;13;Plato_17;19,00 €;31,00 €;2;62,00 €;38,00 €;61%;31;0:31:00;Sin cebolla;
36;5;Plato_2;18,00 €;30,00 €;1;30,00 €;18,00 €;60%;38;0:38:00;Ninguna;
37;20;Plato_13;13,00 €;21,00 €;1;21,00 €;13,00 €;62%;47;0:47:00;Ninguna;
38;10;Plato_17;19,00 €;31,00 €;3;93,00 €;57,00 €;61%;21;0:21:00;Sin cebolla;
38;10;Plato_8;21,00 €;35,00 €;2;70,00 €;42,00 €;60%;34;0:34:00;Ninguna;
38;10;Plato_19;22,00 €;36,00 €;2;72,00 €;44,00 €;61%;43;0:43:00;Ninguna;
39;15;Plato_19;22,00 €;36,00 €;3;108,00 €;66,00 €;61%;57;0:57:00;Ninguna;
40;1;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;15;0:15:00;Sin cebolla;
40;1;Plato_11;20,00 €;33,00 €;1;33,00 €;20,00 €;61%;50;0:50:00;Sin cebolla;
40;1;Plato_16;16,00 €;28,00 €;1;28,00 €;16,00 €;57%;13;0:13:00;Sin cebolla;
41;7;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;23;0:23:00;Sin cebolla;
41;7;Plato_10;15,00 €;26,00 €;3;78,00 €;45,00 €;58%;47;0:47:00;Sin cebolla;
41;7;Plato_2;18,00 €;30,00 €;1;30,00 €;18,00 €;60%;19;0:19:00;Sin cebolla;
42;14;Plato_5;13,00 €;22,00 €;1;22,00 €;13,00 €;59%;57;0:57:00;Sin cebolla;
42;14;Plato_20;25,00 €;40,00 €;2;80,00 €;50,00 €;63%;12;0:12:00;Sin cebolla;
43;8;Plato_15;19,00 €;32,00 €;1;32,00 €;19,00 €;59%;6;0:06:00;Sin cebolla;
43;8;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;59;0:59:00;Sin cebolla;
43;8;Plato_7;14,00 €;24,00 €;3;72,00 €;42,00 €;58%;57;0:57:00;Ninguna;
43;8;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;24;0:24:00;Ninguna;
44;18;Plato_10;15,00 €;26,00 €;1;26,00 €;15,00 €;58%;34;0:34:00;Sin cebolla;
44;18;Plato_1;15,00 €;25,00 €;3;75,00 €;45,00 €;60%;8;0:08:00;Ninguna;
44;18;Plato_13;13,00 €;21,00 €;1;21,00 €;13,00 €;62%;43;0:43:00;Ninguna;
45;17;Plato_4;10,00 €;18,00 €;3;54,00 €;30,00 €;56%;47;0:47:00;Ninguna;
46;10;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;23;0:23:00;Sin cebolla;
46;10;Plato_18;20,00 €;34,00 €;1;34,00 €;20,00 €;59%;48;0:48:00;Sin cebolla;
46;10;Plato_14;14,00 €;23,00 €;2;46,00 €;28,00 €;61%;15;0:15:00;Ninguna;
47;18;Plato_11;20,00 €;33,00 €;2;66,00 €;40,00 €;61%;56;0:56:00;Ninguna;
47;18;Plato_14;14,00 €;23,00 €;1;23,00 €;14,00 €;61%;17;0:17:00;Sin cebolla;
47;18;Plato_3;12,00 €;20,00 €;1;20,00 €;12,00 €;60%;14;0:14:00;Sin cebolla;
48;17;Plato_6;16,00 €;27,00 €;3;81,00 €;48,00 €;59%;37;0:37:00;Sin cebolla;
48;17;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;55;0:55:00;Ninguna;
48;17;Plato_11;20,00 €;33,00 €;1;33,00 €;20,00 €;61%;32;0:32:00;Sin cebolla;
49;8;Plato_7;14,00 €;24,00 €;3;72,00 €;42,00 €;58%;9;0:09:00;Ninguna;
49;8;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;27;0:27:00;Ninguna;
49;8;Plato_4;10,00 €;18,00 €;1;18,00 €;10,00 €;56%;45;0:45:00;Sin cebolla;
50;19;Plato_15;19,00 €;32,00 €;1;32,00 €;19,00 €;59%;6;0:06:00;Ninguna;
50;19;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;15;0:15:00;Ninguna;
51;12;Plato_14;14,00 €;23,00 €;2;46,00 €;28,00 €;61%;33;0:33:00;Sin cebolla;
51;12;Plato_11;20,00 €;33,00 €;3;99,00 €;60,00 €;61%;56;0:56:00;Ninguna;
51;12;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;53;0:53:00;Ninguna;
51;12;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;22;0:22:00;Ninguna;
52;7;Plato_11;20,00 €;33,00 €;3;99,00 €;60,00 €;61%;13;0:13:00;Ninguna;
52;7;Plato_17;19,00 €;31,00 €;2;62,00 €;38,00 €;61%;17;0:17:00;Sin cebolla;
52;7;Plato_18;20,00 €;34,00 €;3;102,00 €;60,00 €;59%;32;0:32:00;Ninguna;
53;16;Plato_14;14,00 €;23,00 €;3;69,00 €;42,00 €;61%;47;0:47:00;Sin cebolla;
53;16;Plato_2;18,00 €;30,00 €;3;90,00 €;54,00 €;60%;39;0:39:00;Sin cebolla;
53;16;Plato_19;22,00 €;36,00 €;3;108,00 €;66,00 €;61%;26;0:26:00;Ninguna;
54;6;Plato_8;21,00 €;35,00 €;3;105,00 €;63,00 €;60%;47;0:47:00;Ninguna;
54;6;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;55;0:55:00;Sin cebolla;
54;6;Plato_4;10,00 €;18,00 €;1;18,00 €;10,00 €;56%;55;0:55:00;Sin cebolla;
54;6;Plato_11;20,00 €;33,00 €;1;33,00 €;20,00 €;61%;46;0:46:00;Sin cebolla;
55;20;Plato_11;20,00 €;33,00 €;3;99,00 €;60,00 €;61%;27;0:27:00;Sin cebolla;
55;20;Plato_7;14,00 €;24,00 €;1;24,00 €;14,00 €;58%;5;0:05:00;Ninguna;
55;20;Plato_19;22,00 €;36,00 €;1;36,00 €;22,00 €;61%;51;0:51:00;Sin cebolla;
55;20;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;13;0:13:00;Ninguna;
56;1;Plato_9;17,00 €;29,00 €;1;29,00 €;17,00 €;59%;38;0:38:00;Ninguna;
56;1;Plato_12;11,00 €;19,00 €;1;19,00 €;11,00 €;58%;40;0:40:00;Sin cebolla;
57;18;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;21;0:21:00;Sin cebolla;
57;18;Plato_20;25,00 €;40,00 €;1;40,00 €;25,00 €;63%;30;0:30:00;Sin cebolla;
57;18;Plato_5;13,00 €;22,00 €;1;22,00 €;13,00 €;59%;10;0:10:00;Ninguna;
57;18;Plato_19;22,00 €;36,00 €;2;72,00 €;44,00 €;61%;7;0:07:00;Sin cebolla;
58;8;Plato_5;13,00 €;22,00 €;1;22,00 €;13,00 €;59%;17;0:17:00;Sin cebolla;
58;8;Plato_3;12,00 €;20,00 €;3;60,00 €;36,00 €;60%;56;0:56:00;Sin cebolla;
59;8;Plato_12;11,00 €;19,00 €;2;38,00 €;22,00 €;58%;13;0:13:00;Ninguna;
59;8;Plato_14;14,00 €;23,00 €;2;46,00 €;28,00 €;61%;9;0:09:00;Ninguna;
59;8;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;13;0:13:00;Sin cebolla;
59;8;Plato_20;25,00 €;40,00 €;1;40,00 €;25,00 €;63%;13;0:13:00;Sin cebolla;
60;6;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;23;0:23:00;Ninguna;
60;6;Plato_11;20,00 €;33,00 €;2;66,00 €;40,00 €;61%;20;0:20:00;Sin cebolla;
61;10;Plato_20;25,00 €;40,00 €;2;80,00 €;50,00 €;63%;56;0:56:00;Ninguna;
61;10;Plato_4;10,00 €;18,00 €;1;18,00 €;10,00 €;56%;39;0:39:00;Sin cebolla;
61;10;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;13;0:13:00;Ninguna;
61;10;Plato_16;16,00 €;28,00 €;3;84,00 €;48,00 €;57%;51;0:51:00;Sin cebolla;
62;2;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;59;0:59:00;Sin cebolla;
62;2;Plato_12;11,00 €;19,00 €;3;57,00 €;33,00 €;58%;46;0:46:00;Sin cebolla;
62;2;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;50;0:50:00;Sin cebolla;
63;17;Plato_3;12,00 €;20,00 €;1;20,00 €;12,00 €;60%;10;0:10:00;Sin cebolla;
63;17;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;20;0:20:00;Ninguna;
64;3;Plato_3;12,00 €;20,00 €;3;60,00 €;36,00 €;60%;25;0:25:00;Ninguna;
64;3;Plato_20;25,00 €;40,00 €;3;120,00 €;75,00 €;63%;47;0:47:00;Sin cebolla;
64;3;Plato_19;22,00 €;36,00 €;3;108,00 €;66,00 €;61%;10;0:10:00;Ninguna;
65;5;Plato_16;16,00 €;28,00 €;1;28,00 €;16,00 €;57%;32;0:32:00;Sin cebolla;
65;5;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;55;0:55:00;Sin cebolla;
65;5;Plato_12;11,00 €;19,00 €;3;57,00 €;33,00 €;58%;51;0:51:00;Ninguna;
65;5;Plato_20;25,00 €;40,00 €;2;80,00 €;50,00 €;63%;17;0:17:00;Ninguna;
66;18;Plato_19;22,00 €;36,00 €;1;36,00 €;22,00 €;61%;29;0:29:00;Ninguna;
66;18;Plato_20;25,00 €;40,00 €;3;120,00 €;75,00 €;63%;30;0:30:00;Ninguna;
66;18;Plato_4;10,00 €;18,00 €;3;54,00 €;30,00 €;56%;55;0:55:00;Sin cebolla;
67;2;Plato_20;25,00 €;40,00 €;1;40,00 €;25,00 €;63%;22;0:22:00;Ninguna;
67;2;Plato_19;22,00 €;36,00 €;3;108,00 €;66,00 €;61%;59;0:59:00;Sin cebolla;
67;2;Plato_10;15,00 €;26,00 €;3;78,00 €;45,00 €;58%;15;0:15:00;Sin cebolla;
67;2;Plato_2;18,00 €;30,00 €;1;30,00 €;18,00 €;60%;35;0:35:00;Sin cebolla;
68;8;Plato_14;14,00 €;23,00 €;3;69,00 €;42,00 €;61%;43;0:43:00;Ninguna;
68;8;Plato_16;16,00 €;28,00 €;1;28,00 €;16,00 €;57%;19;0:19:00;Sin cebolla;
68;8;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;57;0:57:00;Sin cebolla;
68;8;Plato_1;15,00 €;25,00 €;1;25,00 €;15,00 €;60%;26;0:26:00;Sin cebolla;
69;5;Plato_13;13,00 €;21,00 €;3;63,00 €;39,00 €;62%;20;0:20:00;Ninguna;
69;5;Plato_7;14,00 €;24,00 €;3;72,00 €;42,00 €;58%;48;0:48:00;Sin cebolla;
69;5;Plato_11;20,00 €;33,00 €;3;99,00 €;60,00 €;61%;24;0:24:00;Sin cebolla;
70;17;Plato_1;15,00 €;25,00 €;2;50,00 €;30,00 €;60%;19;0:19:00;Sin cebolla;
70;17;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;21;0:21:00;Sin cebolla;
71;18;Plato_2;18,00 €;30,00 €;3;90,00 €;54,00 €;60%;20;0:20:00;Sin cebolla;
71;18;Plato_14;14,00 €;23,00 €;2;46,00 €;28,00 €;61%;29;0:29:00;Sin cebolla;
72;17;Plato_13;13,00 €;21,00 €;1;21,00 €;13,00 €;62%;17;0:17:00;Sin cebolla;
72;17;Plato_4;10,00 €;18,00 €;3;54,00 €;30,00 €;56%;37;0:37:00;Sin cebolla;
73;1;Plato_6;16,00 €;27,00 €;3;81,00 €;48,00 €;59%;20;0:20:00;Ninguna;
74;19;Plato_10;15,00 €;26,00 €;2;52,00 €;30,00 €;58%;39;0:39:00;Sin cebolla;
74;19;Plato_18;20,00 €;34,00 €;3;102,00 €;60,00 €;59%;37;0:37:00;Ninguna;
74;19;Plato_15;19,00 €;32,00 €;2;64,00 €;38,00 €;59%;24;0:24:00;Sin cebolla;
75;19;Plato_20;25,00 €;40,00 €;1;40,00 €;25,00 €;63%;35;0:35:00;Ninguna;
75;19;Plato_14;14,00 €;23,00 €;3;69,00 €;42,00 €;61%;16;0:16:00;Sin cebolla;
76;17;Plato_2;18,00 €;30,00 €;3;90,00 €;54,00 €;60%;13;0:13:00;Sin cebolla;
76;17;Plato_4;10,00 €;18,00 €;1;18,00 €;10,00 €;56%;34;0:34:00;Sin cebolla;
76;17;Plato_7;14,00 €;24,00 €;1;24,00 €;14,00 €;58%;20;0:20:00;Ninguna;
76;17;Plato_10;15,00 €;26,00 €;1;26,00 €;15,00 €;58%;30;0:30:00;Ninguna;
77;3;Plato_4;10,00 €;18,00 €;1;18,00 €;10,00 €;56%;34;0:34:00;Sin cebolla;
77;3;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;55;0:55:00;Ninguna;
77;3;Plato_11;20,00 €;33,00 €;1;33,00 €;20,00 €;61%;8;0:08:00;Sin cebolla;
78;7;Plato_12;11,00 €;19,00 €;3;57,00 €;33,00 €;58%;54;0:54:00;Sin cebolla;
79;16;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;14;0:14:00;Ninguna;
79;16;Plato_11;20,00 €;33,00 €;3;99,00 €;60,00 €;61%;14;0:14:00;Sin cebolla;
79;16;Plato_3;12,00 €;20,00 €;3;60,00 €;36,00 €;60%;25;0:25:00;Ninguna;
79;16;Plato_13;13,00 €;21,00 €;3;63,00 €;39,00 €;62%;43;0:43:00;Ninguna;
80;18;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;5;0:05:00;Ninguna;
80;18;Plato_9;17,00 €;29,00 €;1;29,00 €;17,00 €;59%;34;0:34:00;Sin cebolla;
80;18;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;28;0:28:00;Ninguna;
81;17;Plato_17;19,00 €;31,00 €;2;62,00 €;38,00 €;61%;59;0:59:00;Sin cebolla;
82;16;Plato_1;15,00 €;25,00 €;2;50,00 €;30,00 €;60%;11;0:11:00;Sin cebolla;
82;16;Plato_2;18,00 €;30,00 €;1;30,00 €;18,00 €;60%;8;0:08:00;Sin cebolla;
83;15;Plato_6;16,00 €;27,00 €;2;54,00 €;32,00 €;59%;14;0:14:00;Ninguna;
83;15;Plato_3;12,00 €;20,00 €;1;20,00 €;12,00 €;60%;30;0:30:00;Sin cebolla;
83;15;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;50;0:50:00;Ninguna;
84;19;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;10;0:10:00;Sin cebolla;
85;8;Plato_16;16,00 €;28,00 €;3;84,00 €;48,00 €;57%;26;0:26:00;Sin cebolla;
85;8;Plato_19;22,00 €;36,00 €;2;72,00 €;44,00 €;61%;33;0:33:00;Sin cebolla;
85;8;Plato_3;12,00 €;20,00 €;1;20,00 €;12,00 €;60%;54;0:54:00;Sin cebolla;
85;8;Plato_15;19,00 €;32,00 €;1;32,00 €;19,00 €;59%;29;0:29:00;Sin cebolla;
86;20;Plato_1;15,00 €;25,00 €;2;50,00 €;30,00 €;60%;8;0:08:00;Sin cebolla;
87;3;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;55;0:55:00;Ninguna;
87;3;Plato_15;19,00 €;32,00 €;1;32,00 €;19,00 €;59%;5;0:05:00;Sin cebolla;
87;3;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;11;0:11:00;Ninguna;
88;18;Plato_20;25,00 €;40,00 €;1;40,00 €;25,00 €;63%;12;0:12:00;Ninguna;
88;18;Plato_12;11,00 €;19,00 €;3;57,00 €;33,00 €;58%;46;0:46:00;Sin cebolla;
88;18;Plato_10;15,00 €;26,00 €;1;26,00 €;15,00 €;58%;59;0:59:00;Ninguna;
89;11;Plato_14;14,00 €;23,00 €;3;69,00 €;42,00 €;61%;44;0:44:00;Sin cebolla;
89;11;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;58;0:58:00;Ninguna;
89;11;Plato_5;13,00 €;22,00 €;1;22,00 €;13,00 €;59%;40;0:40:00;Sin cebolla;
90;6;Plato_18;20,00 €;34,00 €;1;34,00 €;20,00 €;59%;48;0:48:00;Sin cebolla;
91;1;Plato_8;21,00 €;35,00 €;3;105,00 €;63,00 €;60%;21;0:21:00;Sin cebolla;
91;1;Plato_13;13,00 €;21,00 €;3;63,00 €;39,00 €;62%;52;0:52:00;Ninguna;
91;1;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;11;0:11:00;Ninguna;
91;1;Plato_6;16,00 €;27,00 €;3;81,00 €;48,00 €;59%;48;0:48:00;Ninguna;
92;6;Plato_9;17,00 €;29,00 €;2;58,00 €;34,00 €;59%;36;0:36:00;Ninguna;
92;6;Plato_7;14,00 €;24,00 €;1;24,00 €;14,00 €;58%;6;0:06:00;Sin cebolla;
93;2;Plato_9;17,00 €;29,00 €;1;29,00 €;17,00 €;59%;18;0:18:00;Sin cebolla;
94;12;Plato_2;18,00 €;30,00 €;3;90,00 €;54,00 €;60%;19;0:19:00;Sin cebolla;
94;12;Plato_15;19,00 €;32,00 €;2;64,00 €;38,00 €;59%;56;0:56:00;Sin cebolla;
