,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
21,50.0,0.0,Travel_Rarely,Sales,8.0,4.0,Life Sciences,Male,1.0,Research Scientist,Divorced,96670.0,3.0,23.0,0.0,28.0,2.0,10.0,1.0,6.0,1.0,2.0,2.0,2.0,4.0
22,53.0,0.0,Travel_Rarely,Research & Development,11.0,4.0,Life Sciences,Female,2.0,Research Scientist,Married,21480.0,3.0,11.0,0.0,21.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0
23,42.0,0.0,Travel_Rarely,Research & Development,4.0,4.0,Life Sciences,Male,1.0,Manufacturing Director,Married,89260.0,1.0,14.0,0.0,20.0,4.0,20.0,11.0,6.0,2.0,3.0,3.0,1.0,3.0
24,29.0,0.0,Travel_Frequently,Research & Development,16.0,4.0,Medical,Male,1.0,Laboratory Technician,Single,65130.0,1.0,11.0,1.0,10.0,2.0,10.0,0.0,9.0,2.0,4.0,2.0,3.0,3.0
25,55.0,0.0,Travel_Rarely,Research & Development,1.0,4.0,Other,Female,1.0,Research Scientist,Married,67990.0,3.0,11.0,0.0,12.0,2.0,10.0,0.0,8.0,2.0,4.0,3.0,3.0,3.0
26,26.0,0.0,Travel_Frequently,Research & Development,9.0,3.0,Life Sciences,Female,1.0,Manager,Married,162910.0,1.0,22.0,0.0,5.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0
27,37.0,0.0,Travel_Rarely,Sales,5.0,1.0,Marketing,Male,1.0,Research Scientist,Single,27050.0,1.0,11.0,0.0,17.0,2.0,17.0,5.0,7.0,4.0,4.0,3.0,3.0,3.0
28,44.0,1.0,Travel_Frequently,Research & Development,1.0,2.0,Medical,Male,2.0,Research Scientist,Divorced,103330.0,3.0,14.0,1.0,19.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,2.0,3.0
29,38.0,0.0,Travel_Rarely,Sales,2.0,3.0,Marketing,Female,1.0,Manager,Divorced,44480.0,9.0,12.0,0.0,10.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0
30,26.0,1.0,Travel_Rarely,Research & Development,4.0,3.0,Medical,Male,3.0,Research Scientist,Divorced,68540.0,2.0,11.0,0.0,5.0,5.0,3.0,0.0,2.0,1.0,2.0,3.0,2.0,3.0
31,28.0,0.0,Travel_Rarely,Research & Development,7.0,3.0,Other,Male,1.0,Human Resources,Single,96370.0,1.0,13.0,0.0,5.0,6.0,5.0,0.0,2.0,4.0,4.0,3.0,2.0,3.0
32,49.0,0.0,Travel_Frequently,Research & Development,1.0,1.0,Medical,Female,2.0,Research Scientist,Single,35910.0,9.0,13.0,0.0,22.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0
33,36.0,0.0,Travel_Rarely,Sales,5.0,3.0,Technical Degree,Male,3.0,Sales Executive,Single,54050.0,4.0,14.0,0.0,10.0,2.0,8.0,7.0,7.0,3.0,2.0,3.0,3.0,3.0
34,31.0,0.0,Travel_Frequently,Research & Development,9.0,4.0,Medical,Male,1.0,Sales Executive,Divorced,46840.0,1.0,16.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0
35,26.0,1.0,Travel_Rarely,Research & Development,8.0,3.0,Medical,Male,2.0,Manager,Single,157870.0,1.0,12.0,2.0,8.0,5.0,8.0,7.0,4.0,4.0,4.0,3.0,3.0,3.0
36,37.0,0.0,Travel_Frequently,Sales,9.0,1.0,Marketing,Male,1.0,Laboratory Technician,Married,15140.0,1.0,14.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0
37,42.0,0.0,Travel_Frequently,Sales,2.0,2.0,Marketing,Male,3.0,Research Director,Married,29560.0,5.0,13.0,0.0,23.0,2.0,20.0,4.0,8.0,3.0,2.0,4.0,3.0,3.0
38,18.0,1.0,Travel_Rarely,Research & Development,1.0,4.0,Life Sciences,Male,1.0,Sales Executive,Single,23350.0,1.0,14.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0
39,35.0,0.0,Travel_Rarely,Sales,20.0,2.0,Life Sciences,Male,1.0,Laboratory Technician,Married,51540.0,0.0,19.0,0.0,12.0,2.0,11.0,6.0,9.0,3.0,2.0,2.0,2.0,3.0
40,36.0,0.0,Travel_Frequently,Research & Development,8.0,3.0,Other,Female,3.0,Sales Executive,Married,69620.0,4.0,12.0,2.0,4.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0
41,51.0,0.0,Travel_Rarely,Research & Development,2.0,3.0,Life Sciences,Male,2.0,Laboratory Technician,Divorced,56750.0,5.0,13.0,0.0,13.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0
42,41.0,0.0,Travel_Rarely,Research & Development,29.0,1.0,Life Sciences,Male,1.0,Laboratory Technician,Single,23790.0,1.0,12.0,0.0,22.0,6.0,22.0,0.0,4.0,4.0,2.0,3.0,3.0,3.0
43,18.0,0.0,Travel_Rarely,Sales,7.0,3.0,Life Sciences,Male,1.0,Research Scientist,Single,38120.0,1.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0
44,28.0,0.0,Travel_Rarely,Research & Development,9.0,3.0,Medical,Male,1.0,Sales Representative,Single,46480.0,0.0,23.0,2.0,9.0,2.0,8.0,0.0,7.0,2.0,1.0,3.0,2.0,4.0
45,31.0,0.0,Travel_Rarely,Research & Development,8.0,1.0,Technical Degree,Male,1.0,Manufacturing Director,Married,29360.0,4.0,12.0,1.0,10.0,2.0,8.0,7.0,7.0,2.0,4.0,2.0,3.0,3.0
46,39.0,0.0,Travel_Rarely,Sales,5.0,4.0,Marketing,Female,2.0,Human Resources,Divorced,21050.0,0.0,20.0,0.0,19.0,3.0,18.0,3.0,7.0,3.0,4.0,2.0,3.0,4.0
47,36.0,0.0,Non-Travel,Research & Development,5.0,4.0,Life Sciences,Male,1.0,Sales Executive,Married,85780.0,7.0,21.0,0.0,11.0,4.0,9.0,0.0,8.0,2.0,2.0,3.0,3.0,4.0
48,32.0,0.0,Travel_Rarely,Sales,2.0,3.0,Marketing,Male,2.0,Laboratory Technician,Married,27060.0,1.0,21.0,1.0,13.0,4.0,13.0,4.0,8.0,4.0,3.0,2.0,3.0,4.0
49,38.0,0.0,Travel_Rarely,Research & Development,5.0,2.0,Life Sciences,Female,3.0,Research Scientist,Married,63840.0,3.0,19.0,2.0,19.0,4.0,10.0,0.0,1.0,1.0,2.0,3.0,2.0,3.0
50,58.0,0.0,Non-Travel,Research & Development,2.0,3.0,Life Sciences,Male,2.0,Manufacturing Director,Divorced,39680.0,2.0,13.0,2.0,12.0,3.0,5.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0
51,31.0,0.0,Travel_Rarely,Research & Development,20.0,1.0,Technical Degree,Female,3.0,Research Scientist,Married,99070.0,0.0,13.0,1.0,6.0,3.0,5.0,0.0,3.0,3.0,4.0,3.0,2.0,3.0
52,31.0,0.0,Travel_Rarely,Sales,7.0,4.0,Marketing,Male,2.0,Sales Executive,Married,132250.0,3.0,21.0,1.0,9.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,4.0
53,45.0,0.0,Travel_Frequently,Research & Development,3.0,1.0,Medical,Female,1.0,Sales Executive,Divorced,35400.0,1.0,13.0,0.0,24.0,6.0,24.0,9.0,11.0,1.0,1.0,3.0,3.0,3.0
54,31.0,0.0,Travel_Rarely,Sales,16.0,4.0,Marketing,Female,2.0,Research Scientist,Divorced,28040.0,0.0,19.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,3.0
55,33.0,0.0,Travel_Frequently,Research & Development,9.0,3.0,Life Sciences,Male,4.0,Research Director,Married,193920.0,6.0,12.0,1.0,12.0,3.0,10.0,8.0,8.0,4.0,2.0,3.0,3.0,3.0
56,39.0,0.0,Travel_Rarely,Sales,1.0,4.0,Life Sciences,Male,1.0,Sales Executive,Married,196650.0,1.0,22.0,1.0,21.0,6.0,21.0,11.0,10.0,3.0,1.0,3.0,3.0,4.0
57,43.0,0.0,Travel_Frequently,Research & Development,7.0,4.0,Medical,Male,4.0,Research Scientist,Single,24390.0,0.0,15.0,0.0,9.0,2.0,8.0,1.0,7.0,3.0,4.0,3.0,3.0,3.0
58,49.0,0.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,Male,3.0,Manufacturing Director,Single,73140.0,7.0,22.0,0.0,25.0,2.0,7.0,0.0,7.0,3.0,3.0,3.0,3.0,4.0
59,52.0,1.0,Travel_Rarely,Research & Development,7.0,1.0,Life Sciences,Female,2.0,Research Scientist,Married,47740.0,2.0,18.0,1.0,11.0,2.0,8.0,7.0,7.0,3.0,2.0,2.0,3.0,3.0
60,27.0,0.0,Travel_Rarely,Research & Development,15.0,4.0,Medical,Male,3.0,Research Scientist,Single,39020.0,1.0,22.0,0.0,4.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0
61,32.0,0.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,Male,3.0,Research Scientist,Married,26620.0,1.0,11.0,1.0,13.0,6.0,13.0,11.0,9.0,3.0,2.0,3.0,4.0,3.0
62,27.0,0.0,Travel_Rarely,Research & Development,13.0,2.0,Medical,Female,4.0,Research Director,Single,28560.0,1.0,12.0,2.0,5.0,5.0,5.0,0.0,4.0,4.0,3.0,3.0,4.0,3.0
63,31.0,0.0,Travel_Rarely,Sales,24.0,3.0,Life Sciences,Male,2.0,Healthcare Representative,Divorced,10810.0,4.0,11.0,3.0,13.0,4.0,7.0,1.0,7.0,4.0,4.0,3.0,4.0,3.0
64,32.0,0.0,Travel_Rarely,Research & Development,7.0,3.0,Technical Degree,Male,2.0,Healthcare Representative,Single,24720.0,7.0,13.0,0.0,10.0,2.0,7.0,0.0,7.0,1.0,4.0,2.0,3.0,3.0
65,28.0,1.0,Travel_Rarely,Research & Development,9.0,4.0,Medical,Male,1.0,Sales Executive,Married,56730.0,5.0,14.0,1.0,5.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0
66,30.0,0.0,Travel_Rarely,Research & Development,13.0,3.0,Life Sciences,Female,4.0,Research Director,Married,41970.0,1.0,13.0,0.0,11.0,3.0,10.0,1.0,9.0,4.0,4.0,3.0,3.0,3.0
67,31.0,0.0,Travel_Frequently,Research & Development,2.0,1.0,Life Sciences,Female,1.0,Manager,Married,97130.0,1.0,17.0,0.0,10.0,5.0,10.0,8.0,9.0,3.0,3.0,3.0,2.0,3.0
68,39.0,0.0,Travel_Frequently,Research & Development,19.0,4.0,Medical,Female,1.0,Research Scientist,Married,20620.0,1.0,13.0,0.0,21.0,4.0,21.0,13.0,3.0,3.0,4.0,3.0,3.0,3.0
69,39.0,1.0,Travel_Rarely,Research & Development,1.0,1.0,Medical,Female,1.0,Laboratory Technician,Married,42840.0,4.0,17.0,1.0,12.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,3.0,3.0
70,33.0,0.0,Travel_Frequently,Sales,4.0,2.0,Life Sciences,Male,4.0,Research Scientist,Single,47880.0,3.0,11.0,1.0,9.0,0.0,7.0,0.0,1.0,2.0,4.0,2.0,3.0,3.0
71,47.0,0.0,Travel_Rarely,Research & Development,4.0,3.0,Life Sciences,Female,2.0,Healthcare Representative,Married,59060.0,4.0,23.0,0.0,21.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0
72,43.0,0.0,Travel_Frequently,Research & Development,14.0,3.0,Medical,Female,5.0,Research Director,Divorced,38860.0,1.0,17.0,2.0,9.0,2.0,9.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0
73,27.0,0.0,Non-Travel,Research & Development,2.0,3.0,Life Sciences,Male,1.0,Research Director,Married,168230.0,0.0,17.0,0.0,6.0,3.0,5.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0
74,54.0,0.0,Travel_Frequently,Research & Development,1.0,4.0,Life Sciences,Male,2.0,Research Scientist,Single,29330.0,3.0,12.0,2.0,20.0,2.0,4.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0
75,43.0,0.0,Travel_Rarely,Research & Development,7.0,2.0,Life Sciences,Female,2.0,Manager,Married,65000.0,8.0,23.0,0.0,10.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,4.0
76,45.0,0.0,Travel_Rarely,Sales,3.0,1.0,Marketing,Female,1.0,Sales Executive,Married,171740.0,9.0,14.0,1.0,12.0,6.0,10.0,9.0,8.0,4.0,4.0,3.0,3.0,3.0
77,40.0,0.0,Travel_Rarely,Research & Development,2.0,4.0,Other,Male,4.0,Research Scientist,Married,50330.0,2.0,14.0,2.0,6.0,6.0,4.0,0.0,2.0,2.0,4.0,2.0,3.0,3.0
78,29.0,1.0,Travel_Rarely,Research & Development,29.0,3.0,Medical,Female,1.0,Research Scientist,Married,23070.0,1.0,13.0,1.0,7.0,0.0,7.0,0.0,7.0,2.0,1.0,2.0,3.0,3.0
79,29.0,0.0,Travel_Rarely,Human Resources,8.0,3.0,Medical,Male,3.0,Sales Representative,Single,25870.0,0.0,22.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0
80,30.0,0.0,Travel_Rarely,Research & Development,10.0,3.0,Life Sciences,Male,2.0,Research Scientist,Divorced,55070.0,1.0,12.0,2.0,10.0,2.0,10.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0
81,27.0,0.0,Travel_Rarely,Research & Development,11.0,2.0,Medical,Male,1.0,Manager,Married,43930.0,1.0,18.0,1.0,8.0,2.0,8.0,0.0,7.0,2.0,2.0,3.0,2.0,3.0
82,37.0,0.0,Travel_Rarely,Sales,1.0,4.0,Life Sciences,Male,2.0,Healthcare Representative,Divorced,133480.0,7.0,14.0,0.0,8.0,4.0,6.0,0.0,4.0,4.0,4.0,2.0,3.0,3.0
83,38.0,0.0,Travel_Rarely,Research & Development,28.0,4.0,Medical,Male,1.0,Laboratory Technician,Divorced,65830.0,0.0,12.0,0.0,12.0,1.0,11.0,2.0,9.0,3.0,4.0,3.0,3.0,3.0
84,31.0,0.0,Travel_Rarely,Research & Development,6.0,3.0,Medical,Female,3.0,Manager,Single,81030.0,1.0,15.0,1.0,11.0,5.0,11.0,4.0,10.0,3.0,4.0,2.0,3.0,3.0
85,29.0,0.0,Travel_Rarely,Research & Development,3.0,4.0,Life Sciences,Male,3.0,Sales Executive,Divorced,39780.0,1.0,11.0,0.0,7.0,0.0,7.0,1.0,7.0,4.0,2.0,3.0,3.0,3.0
86,35.0,0.0,Travel_Rarely,Sales,16.0,2.0,Technical Degree,Male,3.0,Manager,Single,25440.0,0.0,13.0,1.0,17.0,3.0,16.0,0.0,13.0,3.0,2.0,3.0,4.0,3.0
87,23.0,0.0,Travel_Rarely,Research & Development,20.0,4.0,Life Sciences,Male,1.0,Manufacturing Director,Divorced,53990.0,1.0,23.0,0.0,4.0,2.0,4.0,0.0,2.0,3.0,4.0,2.0,2.0,4.0
88,41.0,0.0,Travel_Rarely,Research & Development,9.0,2.0,Life Sciences,Female,1.0,Laboratory Technician,Single,54870.0,6.0,19.0,2.0,8.0,0.0,5.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0
89,47.0,0.0,Travel_Frequently,Sales,1.0,3.0,Medical,Female,2.0,Laboratory Technician,Single,68340.0,3.0,16.0,1.0,5.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,3.0
90,42.0,0.0,Travel_Rarely,Research & Development,3.0,4.0,Life Sciences,Male,1.0,Manager,Single,10910.0,2.0,22.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,4.0
91,29.0,0.0,Non-Travel,Sales,22.0,4.0,Marketing,Male,2.0,Human Resources,Married,57360.0,1.0,22.0,0.0,4.0,1.0,4.0,0.0,2.0,4.0,3.0,2.0,2.0,4.0
92,42.0,0.0,Travel_Rarely,Sales,7.0,4.0,Medical,Male,3.0,Research Scientist,Divorced,22260.0,0.0,12.0,1.0,4.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,3.0
93,32.0,0.0,Travel_Rarely,Research & Development,2.0,3.0,Medical,Male,2.0,Research Scientist,Married,57470.0,1.0,13.0,0.0,8.0,0.0,8.0,0.0,7.0,3.0,2.0,3.0,3.0,3.0
94,48.0,0.0,Travel_Rarely,Sales,13.0,4.0,Medical,Male,4.0,Sales Executive,Married,98540.0,3.0,16.0,1.0,15.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0
95,37.0,0.0,Travel_Rarely,Research & Development,8.0,5.0,Technical Degree,Male,2.0,Manufacturing Director,Divorced,54670.0,4.0,12.0,0.0,13.0,2.0,7.0,6.0,7.0,3.0,1.0,3.0,3.0,3.0
96,30.0,0.0,Non-Travel,Sales,25.0,4.0,Other,Male,1.0,Healthcare Representative,Married,53800.0,7.0,21.0,1.0,4.0,0.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0
97,26.0,0.0,Travel_Rarely,Sales,28.0,3.0,Medical,Female,5.0,Laboratory Technician,Married,51510.0,1.0,15.0,3.0,8.0,3.0,8.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0
98,42.0,0.0,Travel_Rarely,Sales,2.0,2.0,Medical,Female,1.0,Laboratory Technician,Single,21330.0,3.0,13.0,2.0,14.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0,3.0,3.0
99,21.0,1.0,Travel_Frequently,Research & Development,9.0,3.0,Medical,Female,4.0,Manufacturing Director,Single,178750.0,1.0,12.0,0.0,3.0,5.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0
100,36.0,0.0,Non-Travel,Human Resources,28.0,3.0,Human Resources,Male,2.0,Laboratory Technician,Single,24320.0,4.0,22.0,0.0,7.0,4.0,1.0,0.0,0.0,4.0,4.0,3.0,1.0,4.0
101,36.0,0.0,Travel_Frequently,Research & Development,6.0,3.0,Life Sciences,Female,2.0,Research Scientist,Married,47710.0,4.0,13.0,1.0,16.0,2.0,13.0,1.0,12.0,1.0,4.0,3.0,3.0,3.0
102,57.0,0.0,Travel_Rarely,Research & Development,21.0,4.0,Life Sciences,Male,5.0,Research Scientist,Married,191610.0,2.0,18.0,0.0,15.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0
103,40.0,0.0,Travel_Rarely,Research & Development,8.0,3.0,Other,Male,2.0,Sales Executive,Married,50870.0,3.0,14.0,1.0,10.0,3.0,7.0,1.0,7.0,4.0,3.0,3.0,3.0,3.0
104,21.0,0.0,Non-Travel,Research & Development,1.0,5.0,Life Sciences,Female,2.0,Manager,Single,28630.0,1.0,14.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0
105,33.0,1.0,Travel_Rarely,Human Resources,28.0,2.0,Human Resources,Female,5.0,Manager,Single,55610.0,1.0,21.0,1.0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,4.0
106,37.0,0.0,Travel_Rarely,Research & Development,5.0,3.0,Life Sciences,Male,4.0,Research Scientist,Married,21440.0,6.0,19.0,0.0,17.0,3.0,5.0,0.0,3.0,3.0,1.0,3.0,4.0,3.0
107,46.0,0.0,Non-Travel,Sales,2.0,4.0,Marketing,Female,2.0,Laboratory Technician,Married,30650.0,2.0,11.0,0.0,7.0,3.0,1.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0
108,41.0,1.0,Travel_Frequently,Research & Development,16.0,1.0,Medical,Female,1.0,Research Scientist,Single,28100.0,1.0,11.0,0.0,8.0,3.0,8.0,7.0,7.0,1.0,2.0,3.0,4.0,3.0
109,50.0,0.0,Travel_Rarely,Research & Development,9.0,3.0,Medical,Female,3.0,Laboratory Technician,Single,98880.0,6.0,15.0,0.0,20.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0
110,40.0,1.0,Travel_Rarely,Research & Development,8.0,3.0,Medical,Female,1.0,Healthcare Representative,Married,86280.0,2.0,20.0,0.0,8.0,2.0,6.0,1.0,0.0,3.0,3.0,3.0,2.0,4.0
111,31.0,0.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,Male,4.0,Human Resources,Single,28670.0,0.0,24.0,0.0,3.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0
112,21.0,1.0,Travel_Rarely,Human Resources,10.0,2.0,Human Resources,Male,1.0,Laboratory Technician,Single,53730.0,1.0,12.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0,3.0
113,29.0,0.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,Female,2.0,Research Director,Single,66670.0,9.0,12.0,1.0,6.0,6.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0
114,35.0,0.0,Travel_Rarely,Research & Development,29.0,3.0,Life Sciences,Female,3.0,Sales Executive,Single,50030.0,9.0,15.0,0.0,10.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0,3.0
115,27.0,0.0,Travel_Rarely,Sales,2.0,3.0,Life Sciences,Male,1.0,Sales Executive,Divorced,23670.0,1.0,12.0,1.0,5.0,2.0,5.0,0.0,4.0,4.0,2.0,3.0,3.0,3.0
116,28.0,0.0,Travel_Rarely,Research & Development,2.0,2.0,Medical,Male,3.0,Manager,Single,28580.0,1.0,12.0,0.0,7.0,2.0,7.0,0.0,7.0,2.0,4.0,3.0,2.0,3.0
117,49.0,0.0,Travel_Rarely,Sales,2.0,3.0,Technical Degree,Male,2.0,Manufacturing Director,Single,52040.0,8.0,14.0,1.0,26.0,3.0,5.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0
118,51.0,0.0,Travel_Rarely,Research & Development,1.0,2.0,Life Sciences,Male,1.0,Sales Executive,Married,41050.0,4.0,22.0,1.0,18.0,2.0,7.0,0.0,7.0,3.0,4.0,2.0,3.0,4.0
119,36.0,0.0,Travel_Rarely,Sales,15.0,2.0,Life Sciences,Male,1.0,Sales Executive,Married,96790.0,4.0,12.0,0.0,6.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0
